State,Year,Quarter,District,RegisteredUsers
andhra-pradesh,2022,4,anantapur district,48299601
andhra-pradesh,2022,4,ysr district,35201596
andhra-pradesh,2022,4,west godavari district,47919930
andhra-pradesh,2022,4,kurnool district,43524766
andhra-pradesh,2022,4,chittoor district,70322534
andhra-pradesh,2022,4,guntur district,70723763
andhra-pradesh,2022,4,krishna district,76526667
andhra-pradesh,2023,1,east godavari district,115196449
andhra-pradesh,2023,1,srikakulam district,42209999
andhra-pradesh,2023,1,spsr nellore district,71318689
andhra-pradesh,2023,1,vizianagaram district,38838861
andhra-pradesh,2023,1,visakhapatnam district,164358781
andhra-pradesh,2023,1,prakasam district,63671149
andhra-pradesh,2023,1,anantapur district,82127373
andhra-pradesh,2023,1,ysr district,59768512
andhra-pradesh,2023,1,west godavari district,79094558
andhra-pradesh,2023,1,kurnool district,72405172
andhra-pradesh,2023,1,chittoor district,120192355
andhra-pradesh,2023,1,guntur district,114246185
andhra-pradesh,2023,1,krishna district,122104381
andhra-pradesh,2023,2,east godavari district,131243375
andhra-pradesh,2023,2,srikakulam district,47633204
andhra-pradesh,2023,2,spsr nellore district,82056071
andhra-pradesh,2023,2,vizianagaram district,43625851
andhra-pradesh,2023,2,visakhapatnam district,184918179
andhra-pradesh,2023,2,prakasam district,73598725
andhra-pradesh,2023,2,anantapur district,91695174
andhra-pradesh,2023,2,ysr district,66809788
andhra-pradesh,2023,2,west godavari district,92533269
andhra-pradesh,2023,2,kurnool district,81475907
andhra-pradesh,2023,2,chittoor district,136283483
andhra-pradesh,2023,2,guntur district,132035450
andhra-pradesh,2023,2,krishna district,141748488
andhra-pradesh,2023,3,east godavari district,148701666
andhra-pradesh,2023,3,srikakulam district,51382393
andhra-pradesh,2023,3,spsr nellore district,93875073
andhra-pradesh,2023,3,vizianagaram district,47856766
andhra-pradesh,2023,3,visakhapatnam district,209884966
andhra-pradesh,2023,3,prakasam district,84447202
andhra-pradesh,2023,3,anantapur district,104539628
andhra-pradesh,2023,3,ysr district,76091693
andhra-pradesh,2023,3,west godavari district,102962058
andhra-pradesh,2023,3,kurnool district,92890445
andhra-pradesh,2023,3,chittoor district,152863845
andhra-pradesh,2023,3,guntur district,150246761
andhra-pradesh,2023,3,krishna district,159421907
arunachal-pradesh,2018,1,lower dibang valley district,1356
arunachal-pradesh,2018,1,lower subansiri district,1477
arunachal-pradesh,2018,1,longding district,2321
arunachal-pradesh,2018,1,west siang district,1887
arunachal-pradesh,2018,1,kamle district,14
arunachal-pradesh,2018,1,upper siang district,126
arunachal-pradesh,2018,1,tirap district,945
arunachal-pradesh,2018,1,papum pare district,14224
arunachal-pradesh,2018,1,kurung kumey district,84
arunachal-pradesh,2018,1,siang district,252
arunachal-pradesh,2018,1,lower siang district,1292
arunachal-pradesh,2018,1,kra daadi district,207
arunachal-pradesh,2018,1,changlang district,3195
arunachal-pradesh,2018,1,pakke kessang district,9
arunachal-pradesh,2018,1,dibang valley district,2
arunachal-pradesh,2018,1,west kameng district,5787
arunachal-pradesh,2018,1,east siang district,3286
arunachal-pradesh,2018,1,upper subansiri district,735
arunachal-pradesh,2018,1,east kameng district,529
arunachal-pradesh,2018,1,lohit district,3747
arunachal-pradesh,2018,1,lepa rada district,288
arunachal-pradesh,2018,1,tawang district,2334
arunachal-pradesh,2018,1,namsai district,1400
arunachal-pradesh,2018,2,lower dibang valley district,1827
arunachal-pradesh,2018,2,lower subansiri district,1666
arunachal-pradesh,2018,2,longding district,4634
arunachal-pradesh,2018,2,west siang district,2579
arunachal-pradesh,2018,2,kamle district,12
arunachal-pradesh,2018,2,upper siang district,240
arunachal-pradesh,2018,2,tirap district,1903
arunachal-pradesh,2018,2,papum pare district,25363
arunachal-pradesh,2018,2,kurung kumey district,83
arunachal-pradesh,2018,2,anjaw district,7
arunachal-pradesh,2018,2,siang district,336
arunachal-pradesh,2018,2,lower siang district,2292
arunachal-pradesh,2018,2,kra daadi district,247
arunachal-pradesh,2018,2,changlang district,6066
arunachal-pradesh,2018,2,pakke kessang district,48
arunachal-pradesh,2018,2,dibang valley district,68
arunachal-pradesh,2018,2,west kameng district,10466
arunachal-pradesh,2018,2,east siang district,6363
arunachal-pradesh,2018,2,upper subansiri district,1285
arunachal-pradesh,2018,2,east kameng district,522
arunachal-pradesh,2018,2,lohit district,6962
arunachal-pradesh,2018,2,lepa rada district,511
arunachal-pradesh,2018,2,tawang district,5447
arunachal-pradesh,2018,2,namsai district,3230
arunachal-pradesh,2018,3,lower dibang valley district,2824
arunachal-pradesh,2018,3,lower subansiri district,2346
arunachal-pradesh,2018,3,longding district,5288
arunachal-pradesh,2018,3,west siang district,3337
arunachal-pradesh,2018,3,kamle district,93
arunachal-pradesh,2018,3,upper siang district,250
arunachal-pradesh,2018,3,tirap district,3322
